artist,track,album
Calvin Harris & Alesso,Under Control (feat. Hurts),Motion
Gigi D'Agostino,L'amour Toujours,L'amour Toujours
Alan Walker,Faded,Faded - EP
"Alok, Zeeba & Iro",Ocean,Ocean - Single
Kygo,Firestone (feat. Conrad Sewell),Cloud Nine
The Chainsmokers,The Cure,Breathe
Alok & Anitta,Looking For Love,Looking for Love - Single
"Dimitri Vegas & Like Mike, Tiësto & Dido",Thank You (Not So Bad),Thank You (Not So Bad) - Single
Swedish House Mafia & The Weeknd,Moth To A Flame,Moth To A Flame - Single
Alok & Vintage Culture,Party On My Own (feat. FAULHABER),Party On My Own (feat. FAULHABER) - Single
Avicii,For a Better Day,Stories
Avicii,Hey Brother,True
"MEDUZA, Becky Hill & Goodboys",Lose Control,Lose Control - Single
Disturbed,The Sound of Silence (CYRIL Remix),The Sound of Silence (CYRIL Remix) - Single
David Guetta,Without You (feat. Usher),Nothing But the Beat Ultimate
The Chainsmokers,Paris,Memories...Do Not Open
David Guetta,Dangerous (feat. Sam Martin),Listen
"Vintage Culture, Magi, Doral & Blotz",Meu Verão,Meu Verão - Single
"Sonny Fodera, Jazzy & D.O.D",Somedays,Somedays - Single
Daft Punk,One More Time,Discovery
oskar med k & Haley Joelle,i think i'm addicted,i think i'm addicted - Single
"David Guetta, Anne-Marie & Coi Leray",Baby Don't Hurt Me,Baby Don't Hurt Me - Single
Alan Walker & Alok,Headlights (feat. KIDDO),Headlights (feat. KIDDO) - Single
Martin Garrix & Bebe Rexha,In the Name of Love,In The Name Of Love - Single
all things break,gravity,gravity - Single
Avicii,SOS (feat. Aloe Blacc),SOS (feat. Aloe Blacc) - Single
"Jack Ü, Skrillex & Diplo",Where Are Ü Now (feat. Justin Bieber),Skrillex and Diplo present Jack Ü
Alok & Bebe Rexha,Deep In Your Love,Deep In Your Love - Single
Dynoro & Gigi D'Agostino,In My Mind,In My Mind - Single
Joel Corry,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK) - Single
David Guetta & Kim Petras,When We Were Young (The Logical Song),When We Were Young (The Logical Song) - Single
Zedd & Alessia Cara,Stay,Stay - Single
KATO & Jon,Turn the Lights Off (Radio Edit),Turn the Lights Off - Single
Alok & John Legend,In My Mind,In My Mind - Single
"Vintage Culture, Maverick Sabre & Tom Breu",Weak,Promised Land
MK & CHRYSTAL,Dior,Dior - Single
Snap!,Rhythm Is a Dancer,The Madman's Return
RÜFÜS DU SOL,You Were Right,Bloom
Martin Garrix & Dua Lipa,Scared to Be Lonely,Scared To Be Lonely - Single
Alok & Kylie Minogue,last night i dreamt i fell in love,last night i dreamt i fell in love - Single
David Guetta & OneRepublic,I Don't Wanna Wait,I Don't Wanna Wait - Single
Coldabank,Things U Said,Things U Said - Single
Harrison,All the Things She Said,All the Things She Said - Single
Mike Posner,I Took a Pill in Ibiza (Seeb Remix),"At Night, Alone."
The Chainsmokers,Smooth,Smooth - Single
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie) - Single
Lost Frequencies,Are You with Me,Less Is More
Alok & Mathieu Koss,Big Jet Plane,Big Jet Plane - Single
"Alok, Tazi & Samuele Sartini",Seek Love (On The Beach) [feat. Amanda Wilson & York],Seek Love (On The Beach) [feat. Amanda Wilson & York] - Single
"Sayfalse, Cape & Jxndro",Montagem Rugada,Montagem Rugada - EP
Alok & Ava Max,Car Keys (Ayla),Car Keys (Ayla) - Single
Vintage Culture,Upon Your Skin (feat. Noah Kulaga),Upon Your Skin (feat. Noah Kulaga) - Single
Marshmello,Here With Me (feat. CHVRCHES),Here With Me (feat. CHVRCHES) - Single
November Kid,Voyage Voyage,Voyage Voyage - Single
Galantis,Runaway (U & I),Pharmacy
Alok & THRDL!FE,Hear Me Tonight,Hear Me Tonight - Single
Stromae,Alors on danse,Alors on danse - Single
Tiësto & Tate McRae,10:35,DRIVE
oskar med k,Make Me Feel,Make Me Feel - Single
"HUGEL, Topic & Arash",I Adore You (feat. Daecolm),I Adore You (feat. Daecolm) - Single
David Guetta,Where Them Girls At (feat. Nicki Minaj & Flo Rida),Nothing But the Beat Ultimate
Avicii,Without You (feat. Sandro Cavazza),AVĪCI (01) - EP
Mia Martina,Beast (feat. Waka Flocka),Beast (feat. Waka Flocka) - Single
"Alok, Sigala & Ellie Goulding",All By Myself,All By Myself - Single
Moony,"I Don't Know Why (Viale, Dj Ross New Radio Mix)",4 Your Love
RÜFÜS DU SOL,Brighter,Bloom
Lilly Wood & The Prick and Robin Schulz,Prayer in C (Robin Schulz Radio Edit),Prayer
Calvin Harris & Jessie Reyez,Ocean,Ocean - Single
ZERB & The Chainsmokers,Addicted (feat. Ink),Addicted (feat. Ink) - Single
Technotronic,Pump Up the Jam,Pump Up the Jam
Vintage Culture & Fancy Inc,In The Dark,In The Dark - Single
Robin Schulz,Sugar (feat. Francesco Yates),Sugar
Jonas Blue,Fast Car (feat. Dakota) [Radio Edit],Fast Car (feat. Dakota) [Radio Edit] - Single
La Bouche,Be My Lover,Sweet Dreams
"Zedd, Maren Morris & Grey",The Middle,The Middle - Single
"Sonny Fodera, D.O.D & Poppy Baskcomb",Think About Us,Think About Us - Single
Alok & Jazzy,The Heat,The Heat - Single
MEDUZA,Tell It To My Heart (feat. Hozier),Tell It To My Heart (feat. Hozier) - Single
Avicii,Levels,Levels - EP
"Silk City, Dua Lipa",Electricity (feat. Diplo & Mark Ronson),Electricity (feat. Diplo & Mark Ronson) - Single
Alice Deejay,Better Off Alone,Who Needs Guitars Anyway?
"Adam Port, Stryv, Camila Cabello & Malachiii",Move (feat. Keinemusik & Orso),Move (feat. Keinemusik & Orso) - Single
Avicii,Waiting For Love,Stories
Calvin Harris,I Need Your Love (feat. Ellie Goulding),18 Months (Deluxe Edition)
The Chainsmokers,Roses (feat. ROZES),Bouquet - EP
Mr. Belt & Wezol,It's Not Right (But It's Ok),It's Not Right (But It's Ok) - Single
Erika,I Don't Know,I Don't Know - EP
Loud Luxury,Body (feat. brando),Body (feat. brando) - Single
AVAION & Sofiya Nzau,Wacuka,Wacuka - Single
SAINt JHN,Roses (Imanbek Remix),Roses (Imanbek Remix) - Single
CASSIMM,Valerie,Valerie - Single
Dezko,Ascend,Ascend - Single
Kygo & Ava Max,Whatever,Whatever - Single
Calvin Harris & Ellie Goulding,Free,Free - Single
David Guetta,She Wolf (Falling to Pieces) [feat. Sia],Nothing But the Beat Ultimate
Calvin Harris & Kasabian,Release The Pressure,Release The Pressure - Single
Alok,Body Talk (feat. Clementine Douglas),Body Talk (feat. Clementine Douglas) - Single
Charli xcx,B2b,BRAT
BABYMONSTER,PSYCHO,WE GO UP - EP
Alok & James Arthur,Work With My Love,Work With My Love - Single
Vintage Culture & MAGNUS,Nothing Ever Changes,Promised Land
Alok & Alan Fitzpatrick,"Friday, I'm in Luv","Friday, I'm in Luv - Single"
Gala,Freed from Desire,Come Into My Life (10th Anniversary)
"Vintage Culture, Fideles & Be No Rain",Fallen Leaf (Edit),Fallen Leaf (Edit) - Single
Marshmello,Silence (feat. Khalid),Silence (feat. Khalid) - Single
Guru Josh Project,Infinity 2008 (Klaas Vocal Edit),Infinity 2008 (Remixes) - Single
Zedd,Clarity (feat. Foxes),Clarity
Ariis,Gozalo (Super Slowed),Gozalo - EP
Vintage Culture,Fractions,Fractions - Single
Avicii,Heaven,TIM
CYRIL,Stumblin' In,Stumblin' In - Single
Madonna,4 Minutes (feat. Justin Timberlake & Timbaland),4 Minutes (The Remixes) [feat. Justin Timberlake & Timbaland] - EP
Marshmello & Anne-Marie,FRIENDS,FRIENDS - Single
Switch Disco,REACT (D.O.D Remix),REACT (D.O.D Remix) - Single
David Guetta & Sia,Flames,Flames - Single
Charli xcx,Club classics,BRAT
DJ Snake,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","Taki Taki (feat. Selena Gomez, Ozuna & Cardi B) - Single"
Kygo & OneRepublic,Chasing Paradise,Chasing Paradise - Single
CHRYSTAL & NOTION,The Days (NOTION Remix),The Days (NOTION Remix) - Single
Alesso & Zara Larsson,Words,Words - Single
Lasgo,Something,Some Things (Deluxe)
Charli xcx & Troye Sivan,Talk talk featuring troye sivan,Brat and it’s completely different but also still brat
Riton & Nightcrawlers,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit] - Single
"RAYE, David Guetta & Hypaton",WHERE IS MY HUSBAND! (Remix),WHERE IS MY HUSBAND! (Remix) - Single
Maverick Sabre & Slow Motion,Slow Down (feat. Jorja Smith) [Vintage Culture & Slow Motion Remix],Slow Down (feat. Jorja Smith) [Vintage Culture & Slow Motion Remix] - Single
September,Cry For You,Dancing Shoes
Vintage Culture & DJ Glen,Brava,"Vintage Culture & Friends, Vol. 6 (Pt. II) - Single"
"Calvin Harris, Rag’n’Bone Man",Giant,Giant - Single
Calvin Harris,We'll Be Coming Back (feat. Example),18 Months (Deluxe Edition)
Alesso,Heroes (we could be) [feat. Tove Lo],Forever
KATO,Turn the Lights Off (feat. Jon),Discolized 2.0
Magic Box,If You... (Radio Mix),If You... - EP
Clean Bandit,Solo (feat. Demi Lovato),Solo (feat. Demi Lovato) - Single
Lost Frequencies & The Temper Trap,"Sweet Disposition (a moment, a love)","Sweet Disposition (a moment, a love) - Single"
Alok & Bhaskar,Fuego,Fuego - Single
ATLXS & DJ FKU,Montagem Rebola,Montagem Rebola - EP
"Antdot, Maz & Letícia Fialho",Corpo e Canção (Club Mix),Corpo e Canção (Club Mix) - Single
ILLENIUM & Teddy Swims,All That Really Matters,All That Really Matters - Single
Dual Sessions,I Always Think of You,I Always Think of You - Single
Fezzo,Kids,Kids - Single
Corona,The Rhythm Of The Night,The Rhythm of the Night
Tiësto,Elements Of Life,Elements Of Life
Tiësto & Soaky Siren,Tantalizing,Tantalizing - Single
MEDUZA,Paradise (feat. Dermot Kennedy),Paradise (feat. Dermot Kennedy) - Single
Acraze,Do It To It (feat. Cherish),Do It To It (feat. Cherish) - Single
Marshmello & Halsey,Be Kind,Be Kind - Single
BABYMONSTER,DRIP,DRIP
DJ Snake,Middle (feat. Bipolar Sunshine),Encore
The Chainsmokers,Hope (feat. Winona Oak),Sick Boy
sma$her & MXZI,Acelerada,Acelerada - EP
Myles Smith,Stargazing,Stargazing - Single
Hozier,Take Me To Church,Hozier
Tracy Chapman,Fast Car,Tracy Chapman
Tracy Chapman,Baby Can I Hold You,Tracy Chapman
Ruth B.,Dandelions,Safe Haven
Gavin James,Always,Always - Single
Myles Smith & Niall Horan,Drive Safe,Drive Safe - Single
Bob Dylan,Blowin' In the Wind,The Freewheelin' Bob Dylan
Stephen Sanchez,Until I Found You,Until I Found You - Single
James Bay,Hold Back the River,Chaos and the Calm
Edith Whiskers,Home,Home - Single
Israel Subira,Me Leva Pra Casa,Me Leva Pra Casa - Single
Hozier,Work Song,Hozier
Simon & Garfunkel,Mrs. Robinson,Bookends
Stephen Sanchez & Em Beihold,Until I Found You (Em Beihold Version),Until I Found You (Em Beihold Version) - Single
Dean Lewis,Be Alright,Be Alright - Single
Simon & Garfunkel,The Sound of Silence,Sounds of Silence
Jack Johnson,The Captain Is Drunk,The Captain Is Drunk - Single
Tom Odell & Tiësto,Another Love (Tiësto Remix),Another Love (Tiësto Remix) - Single
Myles Smith,Nice To Meet You,A Minute... - EP
Hozier,Someone New,Hozier
Hozier,Like Real People Do,Hozier (Special Edition)
Guilherme Andrade & Guilherme Iamarino,Isaías 53,"Projeto Sola, Vol. 1 - EP"
James Taylor,You've Got a Friend,Mud Slide Slim and the Blue Horizon (Remastered)
Norah Jones,Sunrise,Feels Like Home
Damien Rice,The Blower's Daughter,O
Almir Sater,No Rastro da Lua Cheia,7 Sinais
Sufjan Stevens,Fourth of July,Carrie & Lowell
Dean Lewis,Waves,Same Kind of Different - EP
James Taylor,Fire and Rain,Sweet Baby James (Remastered)
James Bay,Let It Go,Chaos and the Calm
Anavitória,João e Maria,Trilhas - EP
Sara Bareilles,Love Song,Little Voice
Almir Sater,A Saudade É Uma Estrada Longa,Terra De Sonhos
George Ezra,Shotgun,Staying at Tamara's
Liana Flores,rises the moon,recently - EP
Almir Sater,Maneira Simples,7 Sinais
Hozier,Eat Your Young,Eat Your Young - Single
Richy Mitch & The Coal Miners,Evergreen,Rmcm (feat. Noah Watts)
Almir Sater,Cabecinha No Ombro,Caminhos Me Levem
Dean Lewis,7 Minutes,A Place We Knew
Guilherme Andrade & Guilherme Iamarino,Redenção,"Projeto Sola, Vol. 1 - EP"
Hozier,From Eden,Hozier
Alex Yurkiv & Thelma Costolo,Take Me to the River (I Will Swim) [Acoustic],Take Me to the River (I Will Swim) [Acoustic] - Single
Angus & Julia Stone,Big Jet Plane,Down the Way (Bonus Track Version)
Jack Johnson,"Fragments (From the Film ""The Smog of the Sea"")",All the Light Above It Too
Brenn!,Franklin House,Franklin House - Single
Hozier,Nobody's Soldier,Unaired - Single
Carole King,It's Too Late,Tapestry
Bob Dylan,Mr. Tambourine Man,Bringing It All Back Home
Adam Klobi,Dinner,Dinner - Single
Projeto Sola,Homem Deus,Descanso & Celebração
Natalie Taylor,Surrender,Surrender - Single
Dean Lewis,Stay Awake,A Place We Knew
Tracy Chapman,Talkin' Bout a Revolution,Tracy Chapman
Boyce Avenue,Mirrors (feat. Fifth Harmony),"Cover Sessions, Vol. 3"
Boyce Avenue,Just the Way You Are,"Cover Sessions, Vol. 2"
Myles Smith,Solo,Solo - Single
Norah Jones,Those Sweet Words,Feels Like Home
The Macarons Project,Too Sweet,Too Sweet - Single
Boyce Avenue,Photograph (feat. Bea Miller),"Cover Sessions, Vol. 4"
Matt Maltese,As the World Caves In,As the World Caves In - Single
Sufjan Stevens,Should Have Known Better,Carrie & Lowell
Bob Dylan,"Don't Think Twice, It's All Right",The Freewheelin' Bob Dylan
Cat Stevens,Oh Very Young,Buddha and the Chocolate Box
Sara Kays,Remember That Night?,Struck By Lightning
Dean Lewis,Need You Now,Same Kind of Different - EP
Dean Lewis,How Do I Say Goodbye,How Do I Say Goodbye - Single
Bob Dylan,The Times They Are A-Changin',The Times They Are A-Changin'
Boyce Avenue,We Can't Stop (feat. Bea Miller),"Cover Sessions, Vol. 3"
Boyce Avenue,A Thousand Years,"Cover Sessions, Vol. 3"
Boyce Avenue,Fast Car (feat. Kina Grannis),"Cover Sessions, Vol. 2"
Guilherme Andrade & Guilherme Iamarino,Confiança,"Projeto Sola, Vol. 1 - EP"
Dean Lewis,Falling Up,Falling Up - Single
Guilherme Andrade & Guilherme Iamarino,"Da Vida, o Melhor","Da Vida, o Melhor - Single"
Dean Lewis,Lose My Mind,Same Kind of Different - EP
Jim Croce,Time in a Bottle,You Don't Mess Around With Jim
George Ezra,Hold My Girl,Staying at Tamara's
Boyce Avenue,Heaven (feat. Megan Nicole),"Cover Sessions, Vol. 2"
Bob Dylan,Subterranean Homesick Blues,Bringing It All Back Home
Hozier,De Selby (Part 2),Unreal Unearth
Freya Ridings,Lost Without You,Lost Without You - Single
Dermot Kennedy,Power Over Me,Power Over Me - Single
Faye Webster,Kingston,Atlanta Millionaires Club
Jim Croce,You Don't Mess Around with Jim,You Don't Mess Around With Jim
Hozier,Hymn To Virgil,Unreal Unearth: Unending
Myles Smith,Stargazing (Moonlight Version),Stargazing (Moonlight Version) - Single
Hozier,Jackie and Wilson,Hozier
Alex Yurkiv & Thelma Costolo,Take Me to the River (I Will Swim),Take Me to the River (I Will Swim) - Single
Boyce Avenue,Someone You Loved,"Cover Sessions, Vol. 6"
George Ezra,Budapest,Did You Hear the Rain? - EP
Tom Rosenthal,Lights Are On,Z-Sides
Bob Dylan,It Ain't Me Babe,Another Side of Bob Dylan
Sam Fender,Seventeen Going Under,Seventeen Going Under (Deluxe)
Boyce Avenue,Use Somebody (feat. Hannah Trigwell),"Cover Sessions, Vol. 3"
Myles Smith,Stay (If You Wanna Dance),Stay (If You Wanna Dance) - Single
Norah Jones,Happy Pills,...Little Broken Hearts
Boyce Avenue,Glad You Came,"Cover Sessions, Vol. 2"
Sufjan Stevens,Death with Dignity,Carrie & Lowell
Montell Fish,Fall in Love with You.,Fall in Love with You. - Single
Sleeping At Last,All Through the Night,"Covers, Vol. 1"
James Taylor,Handy Man,JT
MaLu,Conselho,Café Da MaLu - Single
Tracy Chapman,Give Me One Reason,New Beginning
Paris Paloma,labour,labour - Single
Paul Simon,Kodachrome,There Goes Rhymin' Simon (Bonus Tracks Edition)
Simon & Garfunkel,The Sounds of Silence,"Wednesday Morning, 3 A.M."
Carole King,You've Got a Friend,Tapestry
Hozier,Angel of Small Death & the Codeine Scene,Hozier
Boyce Avenue,Demons (feat. Jennel Garcia),"Cover Sessions, Vol. 3"
Bárbara Dias,9 Meses,9 Meses - Single
Boyce Avenue,When I Was Your Man (feat. Fifth Harmony),"Cover Sessions, Vol. 3"
Guilherme Andrade & Guilherme Iamarino,Glorificar,"Glorificar Cristo, Edificar a Igreja - EP"
George Ezra,Green Green Grass,Gold Rush Kid (Apple Music Edition)
Myles Smith,River,You Promised A Lifetime - EP
"Peter, Paul & Mary",500 Miles,"The Very Best of Peter, Paul and Mary"
Anavitória,Amor Perfeito,Trilhas - EP
O Teatro Mágico,O Anjo Mais Velho,Entrada para Raros (10th Anniversary Edition)
Passenger,Let Her Go (feat. Ed Sheeran) [Anniversary Edition],All The Little Lights (Anniversary Edition)
Freya Ridings,Castles,Freya Ridings
Boyce Avenue,See You Again (feat. Bea Miller),"Cover Sessions, Vol. 4"
Simon & Garfunkel,America,Bookends
Tom Odell,Another Love (Zwette Edit),Another Love (Zwette Edit) - Single
James Taylor,Carolina In My Mind (1976 Version),"Greatest Hits, Vol. 1"
Tom Walker,Leave a Light On,What a Time To Be Alive
EJAE,In Another World,In Another World - Single
José González,Heartbeats,Veneer
Ashley Monroe,Hands On You,Sparrow
Hozier,Unknown / Nth,Unreal Unearth
Myles Smith,Wait For You,Wait For You - Single
Jake Scott,Good Day,Good Day - Single
Sidney Gish,Impostor Syndrome,No Dogs Allowed
Myles Smith,My Home,My Home - Single
Hozier,Francesca,Unreal Unearth
Simon & Garfunkel,I Am a Rock,Sounds of Silence
Jaymes Young,Happiest Year,Happiest Year - Single
Zach Bryan,Revival,Elisabeth
Capital Inicial & Ana Gabriela,Fogo,Capital Inicial 4.0
Damien Rice,Cannonball,O
Tom Walker,Leave a Light On (Acoustic),Leave a Light On (Acoustic) - Single
Leonard Cohen,Hallelujah,The Essential Leonard Cohen
Boyce Avenue,Firework (feat. David Choi),"Cover Sessions, Vol. 2"
Myles Smith,Gold,"A Minute, A Moment..."
Gordon Lightfoot,If You Could Read My Mind,If You Could Read My Mind
FINNEAS,Break My Heart Again,Break My Heart Again - Single
Sleeping At Last,Already Gone,Already Gone - Single
Sleeping At Last,Chasing Cars,Chasing Cars - Single
Boyce Avenue,Every Breath You Take,"Cover Sessions, Vol. 5"
Boyce Avenue,With or Without You (feat. Kina Grannis),"Cover Sessions, Vol. 2"
Dean Lewis,Half a Man,A Place We Knew
Bob Dylan & Johnny Cash,Girl from the North Country,Nashville Skyline
James Taylor,How Sweet It Is (To Be Loved By You),Gorilla (Remastered)
"Rodrigo Lorio, Nissin & PBK Music",CURTINDO UM UARADEI,CURTINDO UM UARADEI - Single
Searows,In Violet,Death in the Business of Whaling
Brandi Carlile,The Story,The Story
George Ezra,Anyone For You (Tiger Lily),Gold Rush Kid (Apple Music Edition)
John Denver,"Take Me Home, Country Roads","The John Denver Collection, Vol 1: Take Me Home Country Roads"
Guilherme Andrade & Guilherme Iamarino,Então Caí,"Projeto Sola, Vol. 1 - EP"
Daughter,Medicine,The Wild Youth EP
George Ezra,Paradise,Staying at Tamara's
Norah Jones,What Am I to You?,Feels Like Home
Bob Dylan,Girl from the North Country,The Freewheelin' Bob Dylan
Sleeping At Last,Never Tear Us Apart,"Covers, Vol. 2"
James Bay,If You Ever Want to Be in Love,Chaos and the Calm
James TW,When You Love Someone,First Impressions - EP
Boyce Avenue,Losing My Religion,"Cover Sessions, Vol. 4"
James TW,You & Me,Chapters
Boyce Avenue,Hallelujah,"Cover Sessions, Vol. 6"
MaLu,Farol Das Estrelas,Café Da MaLu - Single
Norah Jones,Carry On,Day Breaks
Norah Jones,Chasing Pirates,The Fall (Deluxe Version)
Faye Webster,Right Side of My Neck,Atlanta Millionaires Club
Gregory Alan Isakov,Big Black Car,This Empty Northern Hemisphere
Hozier,Abstract (Psychopomp),Unreal Unearth
Sam Fender,Will We Talk?,Hypersonic Missiles
Paul Simon,The Obvious Child,The Rhythm of the Saints (Bonus Tracks Edition)
"Peter, Paul & Mary",Leaving On a Jet Plane,Album 1700
James Taylor,Don't Let Me Be Lonely Tonight,One Man Dog (Remastered)
Boyce Avenue,The Scientist (feat. Hannah Trigwell),"Cover Sessions, Vol. 3"
Hermanos Gutiérrez,Elegantly Wasted (feat. Leon Bridges),Elegantly Wasted (feat. Leon Bridges) - Single
WILLOW,symptom of life,empathogen
Ray LaMontagne,Such a Simple Thing,Part of the light
John Dias,Lindo Momento,Lindo Momento - Single
Carole King,I Feel the Earth Move,Tapestry
James Taylor,Country Road,Sweet Baby James (Remastered)
The White Buffalo,Oh Darlin' What Have I Done,Prepare for Black and Blue - EP
Essie Jain,Opening,To Love
Boyce Avenue,Someone Like You,"Cover Sessions, Vol. 2"
Ásgeir,Quiet Life,Julia
James Taylor,Shower the People,In the Pocket (Remastered)
Sleeping At Last,Every Little Thing She Does Is Magic,"Covers, Vol. 1"
Hozier,"I, Carrion (Icarian)",Unreal Unearth
Boyce Avenue,Here Without You,"Cover Sessions, Vol. 2"
Anavitória,Espalhe amor,Trilhas - EP
Myles Smith,BIRDS OF A FEATHER (Apple Music Session),Apple Music Sessions
Almir Sater & Renato Teixeira,A Flor Que a Gente Assopra,AR
Capital Inicial & Pitty,O Passageiro,O Passageiro - Single
Gordon Lightfoot,Sundown,Sundown
Sara Bareilles,Gravity,Little Voice
Tracy Chapman,Stand By Me (Live from the Late Show with David Letterman),Greatest Hits
David Guetta,Sexy Bitch (feat. Akon),One More Love
Vanessa da Mata & Ben Harper,Boa Sorte (Good Luck),Hôtel Costes 11
DJ Snake & Major Lazer,Lean On (feat. MØ),Peace Is the Mission
David Guetta,Memories (feat. Kid Cudi),Memories (feat. Kid Cudi)
ZXKAI & slxughter,NO BATIDÃO,NO BATIDÃO - Single
Empire Of The Sun,We Are the People,Walking On a Dream (Special Edition)
Charli xcx,Apple,BRAT
Danny L Harle & Dua Lipa,Two Hearts,Cerulean
"Repsaj, ATLXS & MXZI",MONTAGEM BAILÃO (feat. Mc Jhey),MONTAGEM BAILÃO (feat. Mc Jhey) - EP
Disclosure,Latch (feat. Sam Smith),Settle (Deluxe)
ZXKAI & slxughter,NO BATIDÃO (Slowed),NO BATIDÃO - Single
"MXZI, dj Samir & DJ Javi26",Montagem Xonada,Montagem Xonada - EP
Major Lazer,Sua Cara (feat. Anitta & Pabllo Vittar),Know No Better - EP
Bob Sinclar,"World, Hold On (Children of the Sky) [feat. Steve Edwards] [Radio Edit]","World, Hold On (feat. Steve Edwards) - Single"
Moby,The Last Day (feat. Skylar Grey),Innocents
"DJ Gbr, Mc IG & MC Marks","Let's Go 3 (feat. MC Ryan SP, Mc Don Juan, MC PH, MC Luki, Mc Paiva ZS, Mc GP & Makalo)","Let's Go 3 (feat. MC Ryan SP, Mc Don Juan, MC PH, MC Luki, Mc Paiva ZS, Mc GP & Makalo) - Single"
David Guetta,When Love Takes Over (feat. Kelly Rowland),One More Love
Marconi Union,Weightless,"The Ambient Zone Just Music Cafe, Vol. 4"
Charli xcx,Sympathy is a knife,BRAT
Bob Sinclar,World Hold On (feat. Steve Edwards) [FISHER Rework],World Hold On (feat. Steve Edwards) [FISHER Rework] - Single
Empire Of The Sun,Walking On a Dream,Walking On a Dream (Special Edition)
Charli xcx,365,BRAT
Massive Attack,Angel,Mezzanine
Farelane,Muted Current (Noise),Sleeplight - Single
Somnolent,Twilight (Rain),Twilight
"Nakama, Mc Staff & ΣP",DIA DELÍCIA,DIA DELÍCIA - EP
The Cinematic Orchestra,To Build a Home (feat. Patrick Watson),Ma Fleur
Lenire,The Quiet Noise,Evermore - EP
QMIIR,TIKI TIKI (Slowed),TIKI TIKI - EP
Aureolin Sky,Auralis,Auralis
"Cat Dealers, Evokings & Magga",Gravity 2.0,Timeless Collection Vol. 1 - Single
Flume,Never Be Like You (feat. Kai),Skin
ESTEOESTE,Pura (Noise),Pura
Gesaffelstein & The Weeknd,Lost in the Fire,Hyperion
RÜFÜS DU SOL,On My Knees,Surrender
Juna,Whisper (Rain),Whisper
RÜFÜS DU SOL,Next to Me,Surrender
HAVEN. & Kaitlin Aragon,I Run,I Run - Single
Sound Bath,Where Peace Resides (Sleep),Where Peace Resides
North Node,Emerald (Noise),Emerald - EP
Charli xcx,Everything is romantic,BRAT
Grimes,Oblivion,Visions
RÜFÜS DU SOL,Underwater,SOLACE
Farelane,Distant Collapse (Noise),Blurred Slumber - EP
Peaceful Path,Windrest (Rain),Windrest - EP
Duke Dumont,Ocean Drive,"Blasé Boys Club, Pt. 1 - EP"
"Egzod, Maestro Chives & Neoni",Royalty,Royalty - Single
RÜFÜS DU SOL,Music is Better,Music is Better - Single
FKA twigs,HARD,EUSEXUA Afterglow
Juna,Sunrise (Forest),Sunrise
Roen,Calming (Noise),Calming
Crystalline Cove,Nurtured (Noise),Nurtured - EP
Grimes,Genesis,Visions
RÜFÜS DU SOL,No Place,SOLACE
Crystalline Cove,Within (Ambient Sleep),Within
Portishead,Glory Box,Dummy
Seventh Gateway,Ethereal Lullaby,Higher Calling - EP
M.I.A.,Paper Planes,Kala
FKA twigs,Sushi,EUSEXUA Afterglow
Lux Alba,Peaceful Journey (Meditation),Peaceful Journey (Meditation) - Single
Years & Years,King,Communion (Deluxe)
Stray Kids,MANIAC,ODDINARY
HIM,Join Me In Death,Razorblade Romance (Deluxe Remastered Edition)
Hippie Sabotage,Devil Eyes,Providence
RÜFÜS DU SOL,Next to Me (Vintage Culture Remix),Next to Me (Remixes) - Single
"Cat Dealers, LOthief & Santti",Sunshine (feat. Santti),Sunshine (feat. Santti) - Single
Disclosure,You & Me (feat. Eliza Doolittle) [Rivo Remix],You & Me (feat. Eliza Doolittle) [Rivo Remix] - Single
Empire Of The Sun,Walking On A Dream (BLOND:ISH Remix),Walking On A Dream (BLOND:ISH Remix) - Single
RÜFÜS DU SOL,In the Moment (Adriatique Remix),"Inhale / Exhale Remixed, Vol. 1"
Valeaura,Constant (Noise),Inward - EP
Seventh Gateway,Subsonic Rest,Higher Calling - EP
Charli xcx & Ariana Grande,Sympathy is a knife featuring ariana grande,Brat and it’s completely different but also still brat
Restwaves: Sounds For Sleep,Soft Moon (Sleep),Soft Moon - Single
RÜFÜS DU SOL,Alive,Surrender
FKA twigs,Love Crimes,EUSEXUA Afterglow
"DJ Zigão, DJ Lafon Do Md & Mc Rodrigo do CN",Te Maceto Depois Do Baile (feat. Mc RF),Te Maceto Depois Do Baile (feat. Mc RF) - Single
Yb Wasg'ood & Ariis,LUNA BALA (Slowed),LUNA BALA - EP
Charli xcx,Talk talk,BRAT
Sean Paul,I'm Still in Love with You (feat. Sasha),Dutty Rock (20th Anniversary)
"Dubdogz, Maxximal & MC Hollywood",Oi Oi Oi,Oi Oi Oi - Single
Charli xcx & Shygirl,365 featuring shygirl,Brat and it’s completely different but also still brat
Aureolin Sky,New Moon (Rain),New Moon
Charli xcx & Caroline Polachek,Everything is romantic featuring caroline polachek,Brat and it’s completely different but also still brat
